# Time, Mode, Ch0, Ch1, Ch2, Ch3, Ch4, Ch5, Ch6, Ch7, Total, RA, DEC
222.616653, 16.000000, 43.000000,  8.000000,  4.000000,  3.000000,  4.000000,  3.000000,  0.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.618851, 16.000000, 46.000000,  5.000000,  4.000000,  2.000000,  1.000000,  4.000000,  4.000000, 22.000000,  0.000000,  2.719233, 16.912486
222.621063, 16.000000, 46.000000,  3.000000,  4.000000,  1.000000,  2.000000,  1.000000,  3.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.623260, 16.000000, 48.000000,  5.000000,  2.000000,  2.000000,  3.000000,  4.000000,  1.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.625534, 16.000000, 36.000000,  2.000000,  2.000000,  5.000000,  3.000000,  1.000000,  2.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.627747, 16.000000, 65.000000,  2.000000,  3.000000,  4.000000,  3.000000,  1.000000,  1.000000, 19.000000,  0.000000,  2.719233, 16.912486
222.629944, 16.000000, 55.000000,  3.000000,  2.000000,  3.000000,  1.000000,  1.000000,  2.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.632156, 16.000000, 55.000000,  3.000000,  3.000000,  6.000000,  0.000000,  6.000000,  3.000000, 18.000000,  0.000000,  2.719233, 16.912486
222.634354, 16.000000, 50.000000,  4.000000,  1.000000,  4.000000,  2.000000,  2.000000,  1.000000,  9.000000,  0.000000,  2.719233, 16.912486
222.636627, 16.000000, 57.000000,  2.000000,  3.000000,  3.000000,  2.000000,  0.000000,  2.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.638840, 16.000000, 67.000000,  1.000000,  4.000000,  2.000000,  1.000000,  3.000000,  1.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.641037, 16.000000, 59.000000,  3.000000,  2.000000,  5.000000,  7.000000,  2.000000,  2.000000, 10.000000,  0.000000,  2.719233, 16.912486
222.643250, 16.000000, 48.000000,  3.000000,  0.000000,  3.000000,  2.000000,  1.000000,  3.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.645523, 16.000000, 48.000000,  3.000000,  1.000000,  7.000000,  4.000000,  4.000000,  4.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.647720, 16.000000, 51.000000,  5.000000,  3.000000,  2.000000,  3.000000,  1.000000,  1.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.649933, 16.000000, 45.000000,  5.000000,  3.000000,  1.000000,  1.000000,  1.000000,  2.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.652130, 16.000000, 59.000000,  0.000000,  1.000000,  3.000000,  4.000000,  2.000000,  3.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.654343, 16.000000, 46.000000,  0.000000,  3.000000,  2.000000,  0.000000,  3.000000,  3.000000, 17.000000,  0.000000,  2.719233, 16.912486
222.656616, 16.000000, 48.000000,  5.000000,  5.000000,  1.000000,  4.000000,  5.000000,  1.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.658813, 16.000000, 44.000000,  2.000000,  2.000000,  2.000000,  1.000000,  3.000000,  1.000000, 17.000000,  0.000000,  2.719233, 16.912486
222.661026, 16.000000, 58.000000,  7.000000,  5.000000,  0.000000,  4.000000,  3.000000,  2.000000,  7.000000,  0.000000,  2.719233, 16.912486
222.663223, 16.000000, 38.000000,  3.000000,  6.000000,  1.000000,  5.000000,  1.000000,  2.000000, 20.000000,  0.000000,  2.719233, 16.912486
222.665497, 16.000000, 41.000000,  2.000000,  4.000000,  0.000000,  2.000000,  0.000000,  0.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.667709, 16.000000, 46.000000,  3.000000,  0.000000,  1.000000,  3.000000,  1.000000,  3.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.669907, 16.000000, 63.000000,  1.000000,  2.000000,  6.000000,  1.000000,  3.000000,  3.000000, 19.000000,  0.000000,  2.719233, 16.912486
222.672119, 16.000000, 56.000000,  2.000000,  0.000000,  2.000000,  2.000000,  1.000000,  4.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.674316, 16.000000, 51.000000,  5.000000,  7.000000,  0.000000,  3.000000,  3.000000,  0.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.676590, 16.000000, 39.000000,  1.000000,  3.000000,  2.000000,  1.000000,  2.000000,  1.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.678802, 16.000000, 48.000000,  2.000000,  7.000000,  1.000000,  1.000000,  2.000000,  3.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.681000, 16.000000, 53.000000,  2.000000,  1.000000,  5.000000,  1.000000,  3.000000,  2.000000, 18.000000,  0.000000,  2.719233, 16.912486
222.683212, 16.000000, 47.000000,  1.000000,  4.000000,  6.000000,  1.000000,  1.000000,  3.000000, 18.000000,  0.000000,  2.719233, 16.912486
222.685486, 16.000000, 50.000000,  4.000000,  2.000000,  2.000000,  3.000000,  3.000000,  1.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.687698, 16.000000, 50.000000,  1.000000,  3.000000,  0.000000,  4.000000,  2.000000,  2.000000, 17.000000,  0.000000,  2.719233, 16.912486
222.689896, 16.000000, 36.000000,  0.000000,  0.000000,  1.000000,  2.000000,  1.000000,  1.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.692093, 16.000000, 41.000000,  3.000000,  5.000000,  1.000000,  1.000000,  1.000000,  3.000000,  9.000000,  0.000000,  2.719233, 16.912486
222.694382, 16.000000, 61.000000,  3.000000,  3.000000,  1.000000,  2.000000,  2.000000,  1.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.696579, 16.000000, 46.000000,  6.000000,  4.000000,  1.000000,  2.000000,  1.000000,  1.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.698776, 16.000000, 32.000000,  2.000000,  3.000000,  1.000000,  3.000000,  2.000000,  4.000000, 21.000000,  0.000000,  2.719233, 16.912486
222.700989, 16.000000, 55.000000,  8.000000,  2.000000,  2.000000,  1.000000,  3.000000,  0.000000, 20.000000,  0.000000,  2.719233, 16.912486
222.703201, 16.000000, 56.000000,  6.000000,  1.000000,  2.000000,  2.000000,  1.000000,  1.000000, 18.000000,  0.000000,  2.719233, 16.912486
222.705475, 16.000000, 57.000000,  0.000000,  7.000000,  5.000000,  1.000000,  2.000000,  0.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.707672, 16.000000, 52.000000,  2.000000,  3.000000,  3.000000,  4.000000,  4.000000,  3.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.709885, 16.000000, 45.000000,  4.000000,  2.000000,  1.000000,  2.000000,  3.000000,  0.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.712082, 16.000000, 51.000000,  5.000000,  4.000000,  2.000000,  1.000000,  3.000000,  1.000000, 22.000000,  0.000000,  2.719233, 16.912486
222.714355, 16.000000, 44.000000,  1.000000,  4.000000,  3.000000,  2.000000,  2.000000,  4.000000, 22.000000,  0.000000,  2.719233, 16.912486
222.716568, 16.000000, 50.000000,  3.000000,  3.000000,  3.000000,  4.000000,  2.000000,  2.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.718765, 16.000000, 63.000000,  6.000000,  3.000000,  2.000000,  2.000000,  3.000000,  4.000000,  7.000000,  0.000000,  2.719233, 16.912486
222.720978, 16.000000, 57.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,  3.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.723175, 16.000000, 49.000000,  3.000000,  3.000000,  0.000000,  0.000000,  3.000000,  1.000000,  9.000000,  0.000000,  2.719233, 16.912486
222.725449, 16.000000, 63.000000,  5.000000,  5.000000,  2.000000,  2.000000,  2.000000,  4.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.727661, 16.000000, 47.000000,  2.000000,  2.000000,  2.000000,  1.000000,  5.000000,  3.000000, 18.000000,  0.000000,  2.719233, 16.912486
222.729858, 16.000000, 60.000000,  2.000000,  1.000000,  3.000000,  0.000000,  2.000000,  4.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.732071, 16.000000, 31.000000,  3.000000,  4.000000,  1.000000,  1.000000,  4.000000,  2.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.734344, 16.000000, 48.000000,  7.000000,  4.000000,  5.000000,  3.000000,  3.000000,  4.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.736542, 16.000000, 44.000000,  3.000000,  4.000000,  2.000000,  2.000000,  3.000000,  2.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.738754, 16.000000, 47.000000,  8.000000,  2.000000,  3.000000,  2.000000,  2.000000,  0.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.740952, 16.000000, 40.000000,  8.000000,  2.000000,  3.000000,  2.000000,  1.000000,  5.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.743164, 16.000000, 48.000000,  9.000000,  1.000000,  2.000000,  1.000000,  2.000000,  1.000000, 20.000000,  0.000000,  2.719233, 16.912486
222.745438, 16.000000, 34.000000,  2.000000,  3.000000,  0.000000,  1.000000,  3.000000,  4.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.747635, 16.000000, 55.000000,  1.000000,  2.000000,  3.000000,  4.000000,  1.000000,  3.000000,  9.000000,  0.000000,  2.719233, 16.912486
222.749847, 16.000000, 31.000000,  2.000000,  2.000000,  1.000000,  2.000000,  3.000000,  1.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.752045, 16.000000, 54.000000,  3.000000,  4.000000,  3.000000,  0.000000,  2.000000,  1.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.754318, 16.000000, 44.000000,  4.000000,  4.000000,  5.000000,  2.000000,  1.000000,  5.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.756531, 16.000000, 46.000000,  1.000000,  4.000000,  2.000000,  4.000000,  1.000000,  2.000000, 25.000000,  0.000000,  2.719233, 16.912486
222.758728, 16.000000, 44.000000,  3.000000,  3.000000,  6.000000,  2.000000,  3.000000,  1.000000, 17.000000,  0.000000,  2.719233, 16.912486
222.760941, 16.000000, 63.000000,  4.000000,  5.000000,  2.000000,  1.000000,  1.000000,  3.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.763138, 16.000000, 49.000000,  5.000000,  5.000000,  1.000000,  1.000000,  1.000000,  0.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.765411, 16.000000, 44.000000,  2.000000,  4.000000,  4.000000,  1.000000,  2.000000,  2.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.767624, 16.000000, 50.000000,  0.000000,  3.000000,  5.000000,  2.000000,  5.000000,  2.000000, 19.000000,  0.000000,  2.719233, 16.912486
222.769821, 16.000000, 57.000000,  7.000000,  3.000000,  2.000000,  2.000000,  1.000000,  2.000000, 18.000000,  0.000000,  2.719233, 16.912486
222.772034, 16.000000, 62.000000,  6.000000,  0.000000,  2.000000,  0.000000,  3.000000,  1.000000, 21.000000,  0.000000,  2.719233, 16.912486
222.774307, 16.000000, 56.000000,  1.000000,  2.000000,  4.000000,  4.000000,  3.000000,  1.000000, 19.000000,  0.000000,  2.719233, 16.912486
222.776505, 16.000000, 44.000000,  5.000000,  3.000000,  2.000000,  0.000000,  2.000000,  1.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.778717, 16.000000, 45.000000,  3.000000,  2.000000,  3.000000,  0.000000,  2.000000,  1.000000, 13.000000,  0.000000,  2.719233, 16.912486
