# GET [h], RA [h], DEC [deg]
225.28735,0.16319242,17.007889
225.28827,0.16082716,17.048832
225.28917,0.1584573,17.089789
225.29015,0.15590537,17.133877
225.29105,0.15353368,17.174823
225.29195,0.15116136,17.215765
225.29285,0.14878725,17.256701
225.29375,0.14641216,17.297627
225.29465,0.14403676,17.338555
225.29556,0.14165954,17.379453
225.29646,0.1392815,17.420362
225.29736,0.13690174,17.461264
225.29834,0.13433895,17.505294
225.29924,0.13195576,17.546165
225.30014,0.12957376,17.587061
225.30104,0.13251421,17.60514
225.30194,0.13575194,17.621931
225.30284,0.13898914,17.638709
225.30376,0.14222907,17.65547
225.30466,0.14546762,17.672255
225.30556,0.14870673,17.68903
225.30646,0.15194439,17.705791
225.30743,0.1554321,17.723835
225.30833,0.15867051,17.740589
225.30923,0.16190969,17.75734
225.31013,0.16514912,17.774089
225.31104,0.16838936,17.790816
225.31195,0.17162878,17.807522
225.31285,0.17486826,17.82425
225.31375,0.17810827,17.840976
225.31465,0.18134715,17.857678
225.31563,0.18483731,17.875654
225.31653,0.18807775,17.892365
225.31743,0.18705646,17.891964
225.31833,0.18363341,17.881913
225.31923,0.18021021,17.871841
225.32014,0.17678875,17.86173
225.32104,0.17336647,17.851596
225.32195,0.16994452,17.841422
225.32285,0.16652198,17.831231
225.32375,0.16309961,17.821012
225.32472,0.15941463,17.809985
225.32562,0.15599242,17.799706
225.32652,0.1525706,17.789403
225.32742,0.14914895,17.779071
225.32834,0.14572861,17.768681
225.32924,0.14230744,17.758298
225.33014,0.13888689,17.7479
225.33104,0.13546596,17.737455
225.33194,0.13204523,17.726981
225.33292,0.1283619,17.715668
225.33382,0.12689738,17.701172
225.33618,0.13337594,17.642448
225.33708,0.1358532,17.620039
225.33798,0.13832905,17.597623
225.33888,0.14080583,17.575243
225.3398,0.14328285,17.552841
225.3407,0.14575776,17.530477
225.3416,0.14823385,17.508151
225.3425,0.15070875,17.485817
225.34348,0.15337438,17.461779
225.34438,0.15584863,17.439487
225.34528,0.15832344,17.417219
225.34618,0.1607972,17.394962
225.34708,0.16327035,17.372717
225.34799,0.16574529,17.350481
225.34889,0.16821848,17.328274
225.3498,0.17069144,17.306063
225.3507,0.17029112,17.297618
225.35167,0.16745199,17.30002
225.35257,0.1648148,17.30223
225.35347,0.16217796,17.304441
225.35437,0.15954022,17.306637
225.35527,0.15690158,17.308808
225.35619,0.15426592,17.310962
225.35709,0.151628,17.313131
225.35799,0.1489899,17.315296
225.35889,0.14635194,17.317446
225.35979,0.14371347,17.319589
225.36076,0.14087234,17.321886
225.36166,0.13823391,17.324014
225.36256,0.13559499,17.326119
225.36348,0.1329575,17.328203
225.36438,0.1303186,17.330294
225.36528,0.12767853,17.332385
225.36618,0.12503983,17.334468
225.36708,0.12348727,17.338494
225.36798,0.12511491,17.348248
225.36896,0.12687104,17.358718
225.36986,0.12850164,17.368444
225.37076,0.13013263,17.378131
225.37167,0.13176445,17.387785
225.37257,0.13339711,17.397442
225.37347,0.13502911,17.40706
225.37437,0.13666301,17.41666
225.37527,0.13829723,17.426242
225.37617,0.13993216,17.435806
225.37709,0.14156903,17.445318
225.37805,0.14333132,17.455583
225.37895,0.14496638,17.465054
225.37987,0.14660567,17.474491
225.38077,0.1482438,17.483944
225.38167,0.14988274,17.493366
225.38257,0.15152216,17.502769
225.38347,0.15316175,17.512133
225.38437,0.1552188,17.52437
225.38528,0.15729949,17.536688
225.38625,0.15954194,17.549951
225.38715,0.1616249,17.562211
225.38806,0.16370942,17.574418
225.38896,0.16579397,17.586611
225.38986,0.16788096,17.598774
225.39076,0.16996783,17.610881
225.39166,0.17205545,17.622962
225.39256,0.17414429,17.635003
225.39348,0.17623713,17.647001
225.39438,0.17832796,17.658958
225.39534,0.18058117,17.671828
225.39626,0.18267574,17.683688
225.39716,0.18477024,17.695541
225.39806,0.18686531,17.707359
225.39896,0.18896275,17.719142
225.39986,0.19106123,17.730887
225.40076,0.18961652,17.733309
225.40167,0.18617632,17.730474
225.40257,0.1827361,17.727624
225.40355,0.17903139,17.724508
225.40445,0.17559014,17.721608
225.40535,0.17214905,17.718675
225.40625,0.16870802,17.715712
225.40715,0.1652664,17.712734
225.40805,0.16182503,17.709722
225.40895,0.15838356,17.706683
225.40987,0.15494388,17.703598
225.41077,0.15150191,17.700513
225.41167,0.14806043,17.697399
225.41264,0.14435252,17.693999
225.41354,0.14091056,17.690824
225.41444,0.13746847,17.687631
225.41534,0.13402663,17.684414
225.41624,0.13058362,17.681155
225.41716,0.12143148,17.658332
225.41806,0.10094738,17.593515
225.41896,0.080730018,17.524709
225.41986,0.0607854,17.451931
225.42084,0.039616495,17.369123
225.42174,0.020252221,17.288161
225.42264,0.0011766287,17.203309
225.42354,23.982393,17.114595
225.42444,23.963906,17.022027
225.42535,23.945721,16.925644
225.42625,23.927838,16.825464
225.42715,23.910267,16.721548
225.42805,23.893009,16.613926
225.42896,23.876069,16.502596
225.42993,23.858183,16.378649
225.43083,23.841913,16.259817
225.43173,23.825969,16.137409
225.43263,23.810357,16.011473
225.43355,23.795054,15.883143
225.43445,23.779013,15.796228
225.43535,23.763284,15.706763
225.43625,23.747872,15.614776
225.43715,23.732779,15.520268
225.43813,23.71689,15.41573
225.43903,23.702474,15.316102
225.43993,23.688392,15.214078
225.44083,23.674644,15.109655
225.44174,23.661237,15.002869
225.44264,23.64817,14.893762
225.44354,23.63545,14.782375
225.44444,23.623078,14.668747
225.44534,23.611057,14.552899
225.44624,23.599389,14.434856
225.44722,23.587225,14.305357
225.44812,23.5763,14.182899
225.44902,23.565737,14.058401
225.44994,23.55554,13.931869
225.45084,23.539128,13.777901
225.45174,23.520475,13.61013
225.45264,23.502191,13.4384
225.45354,23.484277,13.262749
225.45444,23.466741,13.083262
225.45541,23.448282,12.885741
225.45631,23.431541,12.698436
225.45723,23.415192,12.507472
225.45813,23.399233,12.312909
225.45903,23.383673,12.114842
225.45993,23.368512,11.913285
225.46083,23.353755,11.708336
225.46173,23.339404,11.500037
225.46265,23.325465,11.28848
225.46355,23.311935,11.073714
225.46451,23.297829,10.838963
225.46542,23.285164,10.617759
225.46632,23.272919,10.393607
225.46722,23.260462,10.169774
225.46812,23.247494,9.9480373
225.46902,23.234921,9.7238198
225.46992,23.222747,9.4972024
225.47084,23.210976,9.2682211
225.47174,23.19961,9.0369887
225.4727,23.187824,8.7855229
225.47362,23.177307,8.549763
225.47452,23.167201,8.3119426
225.47542,23.15751,8.0721406
225.47632,23.148235,7.8304021
225.47722,23.139377,7.5867992
225.47812,23.130938,7.3413714
225.47903,23.12292,7.0942131
225.47993,23.115325,6.8453914
225.4809,23.107621,6.5756686
225.48181,23.100906,6.3235969
225.48271,23.094617,6.0700774
225.48361,23.088703,5.8155489
225.48451,23.082667,5.5632496
225.48541,23.076897,5.3099562
225.48631,23.071395,5.0557114
225.48723,23.066162,4.8005266
225.48813,23.061195,4.5444795
225.48903,23.056498,4.2876009
225.49,23.051739,4.0100516
225.4909,23.0476,3.7515366
225.4918,23.043729,3.492296
225.4927,23.040129,3.2323633
225.4936,23.036797,2.9717688
225.4945,23.033737,2.7105649
225.49542,23.030947,2.4487505
225.49632,23.028427,2.1864121
225.49722,23.026177,1.9235652
225.4982,23.024057,1.6399658
225.4991,23.022368,1.3761684
225.5,23.020951,1.1119815
225.5009,23.040581,0.7445967
225.5018,23.065831,0.35227091
225.5027,23.091282,-0.037857984
225.50362,23.11693,-0.42575778
225.50452,23.142772,-0.81132767
225.50542,23.16881,-1.1944968
225.50632,23.195041,-1.575188
225.5073,23.223505,-1.9823382
225.5082,23.250134,-2.3576424
225.5091,23.276954,-2.7302326
225.51,23.303964,-3.1000107
225.51091,23.331164,-3.4668919
225.51181,23.358552,-3.8307893
225.51271,23.386129,-4.1915905
225.51361,23.413894,-4.5492018
225.51451,23.441845,-4.9035412
225.51549,23.472158,-5.2813514
225.51639,23.500499,-5.6285246
225.51729,23.517808,-5.9047189
225.51819,23.523685,-6.1064108
225.5191,23.530103,-6.3051553
225.52,23.537061,-6.500833
225.5209,23.544559,-6.6933729
225.5218,23.552597,-6.8826926
225.5227,23.561175,-7.0687015
225.5236,23.570288,-7.2513301
225.52458,23.580704,-7.4441447
225.52548,23.590929,-7.6195001
225.52638,23.601685,-7.7912557
225.5273,23.612971,-7.959349
225.5282,23.624783,-8.1236701
225.5291,23.637117,-8.284195
225.53,23.649971,-8.4408643
225.5309,23.66334,-8.5936047
225.5318,23.677222,-8.7423829
225.53278,23.69274,-8.8981119
225.53368,23.703094,-9.0420077
225.53458,23.692819,-9.2010798
225.53549,23.68309,-9.3611452
225.53639,23.673912,-9.5221042
225.5373,23.665287,-9.6839208
225.5382,23.657219,-9.8465033
225.5391,23.649711,-10.009801
225.54,23.642764,-10.173758
225.54091,23.636383,-10.338292
225.54187,23.630144,-10.516058
225.54277,23.624942,-10.68158
225.54369,23.62031,-10.847518
225.54459,23.616248,-11.013739
225.54549,23.612759,-11.180208
225.54639,23.609843,-11.346838
225.54729,23.607499,-11.513586
225.54819,23.605728,-11.680375
225.5491,23.60453,-11.84714
225.55006,23.603879,-12.026614
225.55098,23.599062,-12.247875
225.55188,23.594196,-12.476839
225.55278,23.590006,-12.705277
225.55368,23.586496,-12.933071
225.55458,23.583665,-13.160151
225.55548,23.581517,-13.38639
225.5564,23.580051,-13.611735
225.5573,23.579269,-13.836049
225.5582,23.579171,-14.05925
225.55917,23.57983,-14.298282
225.56007,23.58115,-14.518896
225.56097,23.583153,-14.738115
225.56187,23.585835,-14.955873
225.56277,23.589196,-15.172056
225.56367,23.593233,-15.386597
225.56459,23.597943,-15.59942
225.56549,23.603323,-15.810417
