# GET [h], theta [deg], phi [deg]
225.34438,6.7174243,-100.25031
225.34528,6.7625821,-100.26711
225.34618,6.8077239,-100.28387
225.34708,6.8528546,-100.30054
225.34799,6.8980575,-100.31621
225.34889,6.9431793,-100.3326
225.3498,6.9883497,-100.34817
225.3507,6.9900815,-100.3599
225.35167,6.9555932,-100.36883
225.35257,6.9235537,-100.37746
225.35347,6.8915126,-100.38614
225.35437,6.8594582,-100.39506
225.35527,6.8273939,-100.40426
225.35619,6.7954664,-100.41182
225.35709,6.7634003,-100.42118
225.35799,6.7313268,-100.43067
225.35889,6.6992544,-100.44037
225.35979,6.6671716,-100.45022
225.36076,6.6326251,-100.46093
225.36166,6.6005351,-100.47109
225.36256,6.5684401,-100.48155
225.36348,6.5364614,-100.49039
225.36438,6.5043589,-100.50114
225.36528,6.4722352,-100.51206
225.36618,6.4401265,-100.52308
225.36708,6.4220958,-100.46801
225.36798,6.4453483,-100.21994
225.36896,6.4706055,-99.953884
225.36986,6.4941064,-99.709504
225.37076,6.5177186,-99.467106
225.37167,6.5414944,-99.225747
225.37257,6.5653225,-98.986906
225.37347,6.5892434,-98.750039
225.37437,6.613284,-98.514906
225.37527,6.6374217,-98.281549
225.37617,6.6616605,-98.049921
225.37709,6.6861287,-97.818526
225.37805,6.7124017,-97.573615
225.37895,6.7369261,-97.347633
225.37987,6.7617043,-97.121644
225.38077,6.7864378,-96.898838
225.38167,6.8112696,-96.677788
225.38257,6.8361908,-96.458402
225.38347,6.8612012,-96.24082
225.38437,6.8913201,-95.983579
225.38528,6.9219045,-95.725917
225.38625,6.9549287,-95.451577
225.38715,6.9857202,-95.199423
225.38806,7.0167024,-94.948886
225.38896,7.0477322,-94.701276
225.38986,7.0789004,-94.455842
225.39076,7.1101759,-94.212793
225.39166,7.1415615,-93.97189
225.39256,7.1730657,-93.733196
225.39348,7.2048407,-93.495136
225.39438,7.2365712,-93.260826
225.39534,7.2708104,-93.011299
225.39626,7.3029106,-92.780013
225.39716,7.3349794,-92.552084
225.39806,7.3671462,-92.32622
225.39896,7.3994349,-92.102347
225.39986,7.4318256,-91.880492
225.40076,7.416453,-91.826453
225.40167,7.3742047,-91.865872
225.40257,7.3318931,-91.906453
225.40355,7.2863933,-91.950083
225.40445,7.2440624,-91.991765
225.40535,7.2017331,-92.034033
225.40625,7.1594037,-92.076884
225.40715,7.1170625,-92.120245
225.40805,7.0747247,-92.164232
225.40895,7.0323841,-92.208813
225.40987,6.9901879,-92.252601
225.41077,6.9478363,-92.298358
225.41167,6.9054911,-92.344754
225.41264,6.8598713,-92.395515
225.41354,6.8175184,-92.443304
225.41444,6.775161,-92.491678
225.41534,6.7328059,-92.540712
225.41624,6.6904371,-92.590578
225.41716,6.5722981,-93.128183
225.41806,6.3052515,-94.72364
225.41896,6.0448373,-96.43572
225.41986,5.7916075,-98.276245
225.42084,5.5276807,-100.41585
225.42174,5.2913918,-102.56524
225.42264,5.064449,-104.88492
225.42354,4.8477232,-107.38965
225.42444,4.6422207,-110.09399
225.42535,4.4490823,-113.00985
225.42625,4.2694086,-116.15143
225.42715,4.1045862,-119.52436
225.42805,3.9559388,-123.13133
225.42896,3.8249047,-126.96626
225.42993,3.7049512,-131.3383
225.43083,3.6145772,-135.59557
225.43173,3.5454925,-140.00718
225.43263,3.4984549,-144.52716
225.43355,3.4727012,-149.0947
225.43445,3.4226938,-153.57495
225.43535,3.3927412,-158.1032
225.43625,3.3827106,-162.62864
225.43715,3.3921425,-167.10051
225.43813,3.423064,-171.79907
225.43903,3.4700095,-176.01344
225.43993,3.5331081,179.95189
225.44083,3.6109475,176.11989
225.44174,3.7019524,172.50711
225.44264,3.8047661,169.11726
225.44354,3.9178647,165.95275
225.44444,4.039883,163.00849
225.44534,4.1695793,160.27599
225.44624,4.3058291,157.74436
225.44722,4.4585673,155.2303
225.44812,4.6052539,153.07679
225.44902,4.7556518,151.08602
225.44994,4.9089085,149.24665
225.45084,5.1182735,146.62699
225.45174,5.3577337,143.89706
225.45264,5.6056513,141.41572
225.45354,5.8605745,139.15721
225.45444,6.1211962,137.09837
225.45541,6.4070113,135.08004
225.45631,6.6762722,133.37035
225.45723,6.9482124,131.80237
225.45813,7.2226256,130.35994
225.45903,7.4986871,129.03092
225.45993,7.7760039,127.80361
225.46083,8.0541197,126.66806
225.46173,8.3327224,125.6154
225.46265,8.6112644,124.63823
225.46355,8.8899618,123.72874
225.46451,9.1898075,122.81851
225.46542,9.4675676,122.03234
225.46632,9.7447216,121.2977
225.46722,10.023467,120.55371
225.46812,10.30475,119.77376
225.46902,10.585076,119.03723
225.46992,10.864296,118.34082
225.47084,11.142093,117.682
225.47174,11.418748,117.0575
225.4727,11.715156,116.42091
225.47362,11.988556,115.86133
225.47452,12.260574,115.32958
225.47542,12.530911,114.82421
225.47632,12.799543,114.34368
225.47722,13.06642,113.88649
225.47812,13.331535,113.45142
225.47903,13.594713,113.03738
225.47993,13.856135,112.64312
225.4809,14.135519,112.23971
225.48181,14.392926,111.88377
225.48271,14.648509,111.54489
225.48361,14.902252,111.23415
225.48451,15.155331,111.03924
225.48541,15.407428,110.85178
225.48631,15.658535,110.67143
225.48723,15.908463,110.49813
225.48813,16.157594,110.33116
225.48903,16.405709,110.17056
225.49,16.671804,110.0044
225.4909,16.917854,109.8562
225.4918,17.162904,109.71368
225.4927,17.406956,109.57666
225.4936,17.650021,109.44495
225.4945,17.892075,109.31845
225.49542,18.132971,109.19714
225.49632,18.373056,109.08052
225.49722,18.612157,108.96863
225.4982,18.868453,108.85339
225.4991,19.105536,108.75095
225.5,19.341636,108.65292
225.5009,19.531199,109.47946
225.5018,19.717472,110.52704
225.5027,19.913173,111.5524
225.50362,20.11789,112.55507
225.50452,20.331717,113.53388
225.50542,20.554171,114.48866
225.50632,20.784973,115.41894
225.5073,21.042468,116.39321
225.5082,21.289677,117.27181
225.5091,21.544333,118.12531
225.51,21.806118,118.95368
225.51091,22.074646,119.75717
225.51181,22.349794,120.53554
225.51271,22.631147,121.2892
225.51361,22.918412,122.01833
225.51451,23.211305,122.7232
225.51549,23.532587,123.45582
225.51639,23.836185,124.11153
225.51729,24.087137,124.21593
225.51819,24.276267,123.76579
225.5191,24.462394,123.33037
225.52,24.645649,122.90922
225.5209,24.825984,122.50238
225.5218,25.003424,122.10978
225.5227,25.177989,121.73134
225.5236,25.349724,121.36696
225.52458,25.531482,120.99043
225.52548,25.697476,120.65507
225.52638,25.860804,120.33358
225.5273,26.021389,120.02627
225.5282,26.179548,119.73241
