# GET [h], theta [deg], phi [deg]
225.31465,95.566446,128.06289
225.31563,95.513992,128.05909
225.31653,95.465285,128.0556
225.31743,95.478118,128.04969
225.31833,95.525634,128.04244
225.31923,95.57316,128.03522
225.32014,95.620679,128.02802
225.32104,95.66822,128.02084
225.32195,95.715772,128.01371
225.32285,95.763339,128.00659
225.32375,95.810916,127.9995
225.32472,95.862153,127.9919
225.32562,95.909753,127.98486
225.32652,95.957358,127.97786
225.32742,96.004973,127.97089
225.32834,96.052595,127.96395
225.32924,96.100225,127.95704
225.33014,96.147852,127.95012
225.33104,96.195506,127.94326
225.33194,96.243169,127.93643
225.33292,96.294504,127.92909
225.33382,96.319715,127.91783
225.33618,96.267106,127.86477
225.33708,96.246944,127.84448
225.33798,96.226789,127.8242
225.33888,96.206592,127.80392
225.3398,96.186386,127.78366
225.3407,96.166177,127.76339
225.3416,96.145922,127.7431
225.3425,96.125672,127.72284
225.34348,96.103837,127.70103
225.34438,96.083548,127.68076
225.34528,96.063226,127.66049
225.34618,96.0429,127.64023
225.34708,96.022562,127.61998
225.34799,96.002183,127.59973
225.34889,95.9818,127.57949
225.3498,95.961407,127.55925
225.3507,95.970382,127.55028
225.35167,96.004682,127.5501
225.35257,96.036547,127.54994
225.35347,96.068402,127.54979
225.35437,96.10027,127.54965
225.35527,96.132157,127.54956
225.35619,96.164006,127.54946
225.35709,96.195873,127.54937
225.35799,96.22774,127.54927
225.35889,96.259606,127.54919
225.35979,96.291478,127.54914
225.36076,96.325796,127.54909
225.36166,96.357663,127.54906
225.36256,96.389543,127.54904
225.36348,96.421406,127.54905
225.36438,96.453281,127.54905
225.36528,96.485165,127.54906
225.36618,96.517031,127.54909
225.36708,96.534363,127.55349
225.36798,96.509135,127.57065
225.36896,96.481941,127.58914
225.36986,96.456691,127.6063
225.37076,96.431456,127.62349
225.37167,96.406227,127.64068
225.37257,96.380987,127.65787
225.37347,96.355776,127.67509
225.37437,96.33055,127.69231
225.37527,96.30533,127.70952
225.37617,96.28011,127.72675
225.37709,96.254889,127.744
225.37805,96.22773,127.76256
225.37895,96.202556,127.77982
225.37987,96.177344,127.79711
225.38077,96.152142,127.81438
225.38167,96.126945,127.83165
225.38257,96.101753,127.84893
225.38347,96.076578,127.86624
225.38437,96.044789,127.889
225.38528,96.012664,127.91209
225.38625,95.978051,127.93695
225.38715,95.94593,127.96007
225.38806,95.913814,127.9832
225.38896,95.881708,128.00634
225.38986,95.849587,128.02947
225.39076,95.817496,128.05265
225.39166,95.785409,128.07582
225.39256,95.753328,128.09901
225.39348,95.721216,128.12221
225.39438,95.689152,128.14544
225.39534,95.654609,128.17044
225.39626,95.622545,128.1937
225.39716,95.590489,128.21696
225.39806,95.558444,128.24022
225.39896,95.526388,128.2635
225.39986,95.494338,128.2868
225.40076,95.511131,128.291
225.40167,95.555429,128.28443
225.40257,95.59973,128.27788
225.40355,95.647451,128.27086
225.40445,95.691777,128.26435
225.40535,95.736111,128.25788
225.40625,95.780452,128.25142
225.40715,95.824803,128.24499
225.40805,95.869161,128.23859
225.40895,95.913527,128.2322
225.40987,95.957885,128.22587
225.41077,96.002268,128.21953
225.41167,96.046654,128.21321
225.41264,96.094491,128.20647
225.41354,96.138899,128.2002
225.41444,96.183313,128.19397
225.41534,96.227729,128.18775
225.41624,96.272174,128.18157
225.41716,96.397391,127.99825
225.41806,96.684447,127.45776
225.41896,96.970073,126.91685
225.41986,97.254209,126.37551
225.42084,97.558492,125.79206
225.42174,97.839396,125.24983
225.42264,98.118638,124.70717
225.42354,98.396183,124.16404
225.42444,98.671987,123.62049
225.42535,98.945985,123.0765
225.42625,99.218181,122.53207
225.42715,99.488443,121.9872
225.42805,99.756761,121.44187
225.42896,100.02308,120.8961
225.42993,100.3076,120.30784
225.43083,100.5696,119.76115
225.43173,100.82948,119.21401
225.43263,101.08716,118.66643
225.43355,101.34232,118.11734
225.43445,101.58557,117.52336
225.43535,101.82627,116.92826
225.43625,102.06438,116.33204
225.43715,102.29989,115.73478
225.43813,102.55046,115.0904
225.43903,102.78034,114.49099
225.43993,103.00738,113.89058
225.44083,103.2316,113.28921
225.44174,103.45289,112.68689
225.44264,103.67127,112.08368
225.44354,103.88661,111.47958
225.44444,104.09889,110.87462
225.44534,104.30808,110.26884
225.44624,104.51413,109.6623
225.44722,104.73238,109.00824
225.44812,104.93173,108.40018
225.44902,105.12773,107.79142
225.44994,105.32037,107.18204
225.45084,105.60452,106.59995
225.45174,105.92384,106.0275
225.45264,106.24085,105.4535
225.45354,106.55552,104.87791
225.45444,106.86771,104.30071
225.45541,107.20107,103.67733
225.45631,107.50791,103.09681
225.45723,107.81202,102.51465
225.45813,108.11339,101.93083
225.45903,108.41184,101.34536
225.45993,108.70738,100.75825
225.46083,108.99987,100.16945
225.46173,109.28927,99.57902
225.46265,109.57544,98.986918
225.46355,109.85839,98.393147
225.46451,110.15932,97.751812
225.46542,110.43522,97.154616
225.46632,110.70757,96.555737
225.46722,110.98251,95.955749
225.46812,111.26282,95.354428
225.46902,111.53962,94.750791
225.46992,111.81283,94.144858
225.47084,112.08232,93.536662
225.47174,112.34805,92.926163
225.4727,112.62988,92.266176
225.47362,112.88747,91.651039
225.47452,113.14104,91.033672
225.47542,113.39046,90.414106
225.47632,113.63567,89.792399
225.47722,113.87659,89.168547
225.47812,114.11317,88.542622
225.47903,114.34529,87.914645
225.47993,114.57288,87.284648
225.4809,114.81277,86.604001
225.48181,115.0307,85.969991
225.48271,115.24385,85.334114
225.48361,115.45261,84.711739
225.48451,115.66158,84.223854
225.48541,115.86749,83.734232
225.48631,116.0703,83.242878
225.48723,116.26996,82.749802
225.48813,116.46644,82.255014
225.48903,116.65967,81.758543
225.49,116.8641,81.222023
225.4909,117.05047,80.722104
225.4918,117.23346,80.220587
225.4927,117.41303,79.717483
225.4936,117.58915,79.21282
225.4945,117.76174,78.706629
225.49542,117.93081,78.198965
225.49632,118.09627,77.689829
225.49722,118.25811,77.179259
225.4982,118.42829,76.627878
225.4991,118.58246,76.114482
225.5,118.73287,75.599798
225.5009,118.65999,74.955286
225.5018,118.52379,74.279828
225.5027,118.38123,73.607399
225.50362,118.23239,72.938077
225.50452,118.07734,72.271868
225.50542,117.9161,71.608839
225.50632,117.74873,70.94902
225.5073,117.56173,70.242106
225.5082,117.38182,69.589076
225.5091,117.19597,68.939382
225.51,117.00421,68.293017
225.51091,116.80659,67.650043
225.51181,116.60318,67.010446
225.51271,116.394,66.374274
225.51361,116.17912,65.741514
225.51451,115.9586,65.112179
225.51549,115.71484,64.438315
225.51639,115.4827,63.816143
225.51729,115.36762,63.113928
225.51819,115.37433,62.324541
225.5191,115.37215,61.535867
225.52,115.36105,60.748148
225.5209,115.34101,59.961654
225.5218,115.31201,59.176636
225.5227,115.27402,58.393336
225.5236,115.22707,57.612026
225.52458,115.16646,56.773139
225.52548,115.10086,55.996762
225.52638,115.02633,55.223151
225.5273,114.94285,54.452571
225.5282,114.85046,53.685263
225.5291,114.74921,52.921461
225.53,114.63913,52.161417
225.5309,114.52024,51.405377
225.5318,114.39261,50.653574
225.53278,114.24545,49.848958
225.53368,114.16327,49.122137
225.53458,114.36662,48.466762
225.53549,114.56282,47.808281
225.53639,114.75175,47.146865
225.5373,114.93336,46.482693
225.5382,115.10756,45.815961
225.5391,115.27429,45.146846
225.54,115.43348,44.475546
225.54091,115.58505,43.802294
225.54187,115.73972,43.075263
225.54277,115.87531,42.398585
225.54369,116.00314,41.720614
225.54459,116.12315,41.041552
225.54549,116.2353,40.36164
225.54639,116.33954,39.68113
225.54729,116.43586,39.000249
225.54819,116.52424,38.319237
225.5491,116.60462,37.638373
225.55006,116.68227,36.905528
225.55098,116.83205,36.190637
225.55188,116.98506,35.467808
225.55278,117.12829,34.742292
225.55368,117.26167,34.014412
225.55458,117.38516,33.284429
225.55548,117.49868,32.552693
225.5564,117.60221,31.819503
225.5573,117.69571,31.085145
225.5582,117.77914,30.349986
225.55917,117.85772,29.557738
225.56007,117.9202,28.82192
225.56097,117.97258,28.086336
225.56187,118.01486,27.351288
225.56277,118.04704,26.617138
225.56367,118.06917,25.88422
225.56459,118.08125,25.152922
225.56549,118.08332,24.423524
225.56639,118.07543,23.69638
225.56737,118.11838,22.91915
225.56827,118.20124,22.198829
225.56917,118.27437,21.476517
225.57007,118.33772,20.75251
225.57097,118.39126,20.027114
225.57187,118.43496,19.300648
225.57278,118.4688,18.573445
225.57368,118.49278,17.845772
225.57458,118.50689,17.118018
225.57549,118.51114,16.390471
225.57646,118.50469,15.607541
225.57736,118.4885,14.88146
225.57826,118.46249,14.156616
225.57916,118.42672,13.433292
225.58006,118.38121,12.711836
225.58098,118.32602,11.99259
225.58188,118.2612,11.275831
225.58278,118.18681,10.561897
225.58368,118.11701,9.9760721
225.58466,118.10778,9.9686487
225.58556,118.0992,9.9617463
225.58646,118.09062,9.9548473
225.58736,118.08203,9.9479429
225.58826,118.07344,9.941064
225.58917,118.06486,9.9341938
225.59007,118.05627,9.9273111
225.59097,118.04768,9.9204412
225.59187,118.03908,9.9135723
225.59277,118.03049,9.9067188
225.59375,118.02123,9.8993396
225.59465,118.01263,9.8924872
225.59555,118.00403,9.8856516
225.59645,117.99542,9.8788061
225.59737,117.98682,9.8719902
225.59827,117.97821,9.8651463
225.59917,117.96961,9.8583412
225.60007,117.96099,9.8514962
225.60097,118.002,9.3423306
225.60194,118.04754,8.7111175
225.60284,118.08326,8.1229902
225.60374,118.11261,7.5330963
225.60466,118.13556,6.9416558
225.60556,118.15209,6.348746
225.60646,118.16216,5.754579
225.60736,118.16575,5.1593035
225.60826,118.16285,4.56311
225.60916,118.15344,3.9661487
225.61008,118.1375,3.3686322
225.61104,118.11302,2.7246603
225.61194,118.0835,2.1264691
225.61285,118.04742,1.5282289
225.61375,118.0048,0.93010938
225.61465,117.95563,0.33230591
225.61555,117.89992,-0.265026
