# GET [h], theta [deg], phi [deg]
225.17542,122.04045,132.67336
225.17632,122.05968,132.67033
225.17729,122.0804,132.66706
225.17819,122.09964,132.66402
225.1791,122.11886,132.66099
225.18,122.13809,132.65796
225.18091,122.15734,132.65494
225.18181,122.1766,132.65193
225.18271,122.19585,132.64893
225.18361,122.21248,132.64648
225.18451,122.20601,132.6492
225.18541,122.19954,132.6519
225.18639,122.19256,132.65481
225.18729,122.18608,132.65751
225.1882,122.17961,132.66023
225.1891,122.17315,132.66293
225.19,122.16668,132.66564
225.1909,122.16021,132.66835
225.1918,122.15374,132.67106
225.1927,122.14725,132.67375
225.1936,122.14078,132.67646
225.19458,122.1338,132.67937
225.19548,122.12734,132.68209
225.1964,122.12086,132.68479
225.1973,122.1144,132.68749
225.1982,122.10792,132.69021
225.1991,122.10146,132.69292
225.2,122.095,132.69564
225.2009,122.08285,132.71401
225.20181,122.06925,132.7365
225.20271,122.05564,132.75898
225.20367,122.041,132.78317
225.20459,122.02737,132.80563
225.20549,122.01376,132.82808
225.20639,122.00015,132.85054
225.20729,121.98652,132.87298
225.20819,121.97291,132.89542
225.20909,121.95929,132.91785
225.21,121.94565,132.94028
225.2109,121.93203,132.9627
225.21187,121.91736,132.98685
225.21278,121.90374,133.00926
225.21368,121.89011,133.03168
225.21458,121.87646,133.05407
225.21548,121.86284,133.07648
225.21638,121.8492,133.09887
225.21729,121.83069,133.11241
225.2182,121.80701,133.11659
225.2191,121.78333,133.12076
225.22,121.75967,133.12495
225.22098,121.73419,133.12947
225.22188,121.71054,133.13367
225.22278,121.68689,133.13788
225.22368,121.66324,133.1421
225.22458,121.6396,133.14632
225.22548,121.61596,133.15055
225.2264,121.59233,133.15479
225.2273,121.56867,133.15902
225.2282,121.54506,133.16326
225.22917,121.51962,133.16784
225.23007,121.49599,133.17211
225.23097,121.47237,133.17637
225.23187,121.44877,133.18066
225.23277,121.42516,133.18493
225.23367,121.40957,133.18978
225.23459,121.431,133.19722
225.23549,121.45243,133.20468
225.23639,121.47389,133.21216
225.23729,121.49533,133.21963
225.23827,121.51839,133.22769
225.23917,121.53984,133.2352
225.24007,121.56127,133.24272
225.24097,121.5827,133.25023
225.24188,121.60412,133.25776
225.24278,121.62555,133.26531
225.24368,121.647,133.27288
225.24458,121.66842,133.28044
225.24548,121.68984,133.28802
225.24646,121.71291,133.29619
225.24736,121.73433,133.30379
225.24826,121.75574,133.3114
225.24916,121.77716,133.31903
225.25008,121.7986,133.32667
225.25098,121.82894,133.31284
225.25188,121.86065,133.29581
225.25278,121.89233,133.27878
225.25368,121.92406,133.26177
225.25458,121.95578,133.24474
225.25555,121.98995,133.22641
225.25645,122.02171,133.20941
225.25735,122.05343,133.19238
225.25827,122.0852,133.17537
225.25917,122.11695,133.15835
225.26007,122.14873,133.14135
225.26097,122.18052,133.12436
225.26187,122.21229,133.10734
225.26277,122.2441,133.09034
225.26375,122.27833,133.07204
225.26465,122.31015,133.05505
225.26555,122.34199,133.03806
225.26646,122.37381,133.02106
225.26736,122.37182,132.9955
225.26826,122.3435,132.96332
225.26917,122.31517,132.93116
225.27007,122.28679,132.89903
225.27097,122.25841,132.86695
225.27188,122.22999,132.83488
225.27284,122.19935,132.8004
225.27374,122.17088,132.76841
225.27466,122.14238,132.73645
225.27556,122.11386,132.70453
225.27646,122.0853,132.67262
225.27736,122.05673,132.64076
225.27826,122.02813,132.60893
225.27916,121.99951,132.57713
225.28008,121.97086,132.54538
225.28104,121.93998,132.5112
225.28195,121.91127,132.4795
225.28285,121.88255,132.44784
225.28375,121.86259,132.4349
225.28465,121.86835,132.47663
225.28555,121.87411,132.51838
225.28645,121.87979,132.5601
225.28735,121.88548,132.60187
225.28827,121.89111,132.6436
225.28917,121.89674,132.68535
225.29015,121.90275,132.73031
225.29105,121.90831,132.77207
225.29195,121.91383,132.81383
225.29285,121.91933,132.85559
225.29375,121.9248,132.89735
225.29465,121.93022,132.93911
225.29556,121.93564,132.98089
225.29646,121.94101,133.02265
225.29736,121.94637,133.06443
225.29834,121.95209,133.10941
225.29924,121.9574,133.15121
225.30014,121.96264,133.19298
225.30104,121.91774,133.18496
225.30194,121.87004,133.17421
225.30284,121.82236,133.16353
225.30376,121.77466,133.15286
225.30466,121.72695,133.14226
225.30556,121.67924,133.13169
225.30646,121.63156,133.12118
225.30743,121.5802,133.10992
225.30833,121.53251,133.09951
225.30923,121.48482,133.08915
225.31013,121.43712,133.07882
225.31104,121.38942,133.06855
225.31195,121.34174,133.05834
225.31285,121.29405,133.04815
225.31375,121.24635,133.03802
225.31465,121.19868,133.02795
225.31563,121.14732,133.01713
225.31653,121.09962,133.00714
225.31743,121.11199,133.00523
225.31833,121.15821,133.00787
225.31923,121.20444,133.01055
225.32014,121.25066,133.01325
225.32104,121.2969,133.016
225.32195,121.34315,133.01879
225.32285,121.38941,133.02161
225.32375,121.43568,133.02446
225.32472,121.4855,133.02759
225.32562,121.53179,133.03052
225.32652,121.57807,133.0335
225.32742,121.62437,133.03651
225.32834,121.67068,133.03955
225.32924,121.71698,133.04265
225.33014,121.76328,133.04575
225.33104,121.8096,133.04891
225.33194,121.85593,133.05211
225.33292,121.90583,133.05558
225.33382,121.93132,133.04441
225.33618,121.88791,132.93912
225.33708,121.87124,132.8989
225.33798,121.85456,132.85869
225.33888,121.83782,132.81849
225.3398,121.82107,132.77832
225.3407,121.80429,132.73817
225.3416,121.78744,132.69802
225.3425,121.77059,132.65791
225.34348,121.7524,132.61472
225.34438,121.73548,132.57464
225.34528,121.71851,132.53456
225.34618,121.70152,132.49451
225.34708,121.68451,132.45449
225.34799,121.66744,132.41446
225.34889,121.65035,132.37448
225.3498,121.63324,132.3345
225.3507,121.64273,132.32357
225.35167,121.67527,132.33616
225.35257,121.70549,132.34788
225.35347,121.7357,132.35962
225.35437,121.76592,132.37138
225.35527,121.79615,132.38318
225.35619,121.82635,132.39498
225.35709,121.85655,132.40682
225.35799,121.88675,132.41866
225.35889,121.91694,132.43052
225.35979,121.94713,132.44243
225.36076,121.97963,132.45526
225.36166,122.00981,132.4672
225.36256,122.04,132.47916
225.36348,122.07017,132.49115
225.36438,122.10034,132.50315
225.36528,122.13051,132.51518
225.36618,122.16066,132.52723
225.36708,122.17684,132.53987
225.36798,122.15211,132.55414
225.36896,122.12546,132.56949
225.36986,122.10071,132.58375
225.37076,122.07598,132.59802
225.37167,122.05126,132.61227
225.37257,122.02652,132.62653
225.37347,122.00182,132.64081
225.37437,121.9771,132.65508
225.37527,121.95239,132.66933
225.37617,121.92769,132.6836
225.37709,121.90298,132.69787
225.37805,121.87637,132.71323
225.37895,121.85172,132.7275
225.37987,121.82703,132.74178
225.38077,121.80234,132.75605
225.38167,121.77767,132.77032
225.38257,121.753,132.78458
225.38347,121.72834,132.79886
225.38437,121.69714,132.81805
225.38528,121.6656,132.83752
225.38625,121.63162,132.85847
225.38715,121.60009,132.87795
225.38806,121.56857,132.89741
225.38896,121.53706,132.91689
225.38986,121.50554,132.93634
225.39076,121.47405,132.95582
225.39166,121.44256,132.97529
225.39256,121.41109,132.99476
225.39348,121.37959,133.01422
225.39438,121.34813,133.03369
225.39534,121.31425,133.05466
225.39626,121.2828,133.07413
225.39716,121.25137,133.09361
225.39806,121.21994,133.11309
225.39896,121.1885,133.13256
225.39986,121.15708,133.15203
225.40076,121.17294,133.16314
225.40167,121.21543,133.16954
225.40257,121.25791,133.17597
