#GET [h], theta_SUN [deg], phi_SUN [deg], theta_MOON [deg], phi_MOON [deg], theta_EARTH [deg], phi_EARTH [deg] 
251.55562,133.86246,-10.173728,54.052821,-150.94037,132.03403,-45.386456
251.55653,133.87679,-10.158972,54.029992,-150.9119,132.03504,-45.374896
251.55743,133.89111,-10.144212,54.007185,-150.88343,132.03606,-45.363332
251.55833,133.90543,-10.129435,53.984386,-150.85494,132.03708,-45.351738
251.55923,133.91976,-10.114635,53.961589,-150.82641,132.0381,-45.340118
251.56013,133.93407,-10.099827,53.938808,-150.79788,132.03913,-45.328481
251.56111,133.94948,-10.083848,53.914289,-150.76713,132.04024,-45.31591
251.56201,133.96379,-10.069008,53.891515,-150.73855,132.04126,-45.304221
251.56291,133.97809,-10.054162,53.868756,-150.70997,132.04228,-45.292519
251.56381,133.99239,-10.039271,53.845997,-150.68133,132.04331,-45.280767
251.56473,134.00668,-10.024383,53.823248,-150.6527,132.04433,-45.269003
251.56563,134.02098,-10.009481,53.800516,-150.62405,132.04537,-45.257227
251.56653,134.03527,-9.9945534,53.777788,-150.59537,132.04641,-45.245415
251.56743,134.04222,-9.9996625,53.760171,-150.58978,132.04095,-45.249613
251.56833,134.04777,-10.008636,53.743515,-150.58863,132.03422,-45.256889
251.5693,134.05374,-10.018281,53.725593,-150.58738,132.027,-45.264703
251.5702,134.05928,-10.027231,53.708945,-150.58621,132.02028,-45.271943
251.5711,134.06483,-10.036214,53.692296,-150.58508,132.01357,-45.279206
251.57202,134.07037,-10.045172,53.675645,-150.58392,132.00686,-45.286438
251.57292,134.07591,-10.054161,53.658977,-150.58278,132.00012,-45.293685
251.57382,134.08145,-10.063125,53.642335,-150.58164,131.99342,-45.300912
